game,bet,model_count,avg_adj_conf,avg_edge,price,bet_type,weighted_edge
Air Force Falcons @ New Mexico Lobos,Air Force Falcons 27.5,4,0.7937822835056272,0.2815871615544077,-105,spread,0.5631743231088154
South Carolina Gamecocks @ Florida Gators,South Carolina Gamecocks 23.5,4,0.7630499126549132,0.2281661917246807,-115,spread,0.4563323834493614
Louisville Cardinals @ SMU Mustangs,OVER 166.5,6,0.6867626085919349,0.15846072179948215,-112,total,0.3881479126818502
Gardner-Webb Bulldogs @ Charleston Southern Buccaneers,Gardner-Webb Bulldogs 17.5,4,0.7037768346325735,0.17996731082304965,-110,spread,0.3599346216460993
GW Revolutionaries @ VCU Rams,OVER 162.5,6,0.6531123405740843,0.13388157134331508,-108,total,0.3279415357531445
Miami (OH) RedHawks @ Massachusetts Minutemen,OVER 161.5,6,0.6441989948653587,0.11589710807290593,-112,total,0.28388877744281654
Georgia Bulldogs @ Kentucky Wildcats,OVER 161.5,6,0.6441989948653587,0.11589710807290593,-112,total,0.28388877744281654
Gardner-Webb Bulldogs @ Charleston Southern Buccaneers,OVER 160.5,6,0.6350932327889028,0.11128370897937902,-110,total,0.2725883036838571
Akron Zips @ Western Michigan Broncos,Western Michigan Broncos 14.5,4,0.6704900695880677,0.13560634865783514,-115,spread,0.27121269731567027
Baylor Bears @ Kansas St Wildcats,OVER 159.5,6,0.6258001744063239,0.10199065059680007,-110,total,0.24982505249664477
